7,20/Nov/2023,12:41:10,1,6,11
8,20/Nov/2023,12:46:08,1,6,1
9,20/Nov/2023,12:47:45,1,6,20
10,20/Nov/2023,12:48:55,1,6,21
11,20/Nov/2023,21:19:44,1,9,12
12,20/Nov/2023,21:19:55,1,9,1232
13,20/Nov/2023,21:41:26,1,9,123
14,21/Nov/2023,10:44:24,1,9,12
15,21/Nov/2023,17:46:55,1,9,12
16,02/Dec/2023,14:56:13,1,9,123
17,04/Dec/2023,23:53:07,1,18,89
18,05/Dec/2023,21:45:13,1,18,1
19,05/Dec/2023,21:45:19,1,18,2
20,05/Dec/2023,21:51:54,1,9,1
21,05/Dec/2023,21:57:00,1,9,12
22,05/Dec/2023,21:57:07,1,9,1
23,05/Dec/2023,22:15:50,1,9,1212
24,05/Dec/2023,22:15:56,1,9,1
25,05/Dec/2023,22:16:03,1,9,2
26,05/Dec/2023,22:16:09,1,9,1
27,05/Dec/2023,22:16:16,1,9,23
